contest_id	registration	ballots_cast	ballots_uncounted	computed_ballots	overvotes	undervotes	totalvotes	vote_for	contest_name
100	481991	253583	0	253583	4174	5272	244137	1	Governor
115	481991	253583	0	253583	588	30464	222531	1	Lieutenant Governor
120	481991	253583	0	253583	319	35133	218131	1	Secretary of State
125	481991	253583	0	253583	105	50259	203219	1	State Controller
130	481991	253583	0	253583	251	33551	219781	1	State Treasurer
135	481991	253583	0	253583	232	36538	216813	1	Attorney General
140	481991	253583	246	253337	322	43501	209514	1	Insurance Commissioner
145	481991	253583	246	253337	358	56380	196599	1	Board of Equalization, District 2
150	481991	253583	246	253337	1117	14959	237261	1	U.S. Senator
155	426647	225360	215	225145	336	18080	206729	1	U.S. Representative, District 12
160	0	0	0	0	0	0	0	1	U.S. Representative, District 13
165	55344	28223	31	28192	12	2822	25358	1	U.S. Representative, District 14
170	280269	147301	86	147215	58	32145	115012	1	State Assembly, District 17
175	201722	106282	160	106122	27	17250	88845	1	State Assembly, District 19
180	481991	253583	246	253337	135	47266	205936	1	Superior Court Judge, Seat 4
185	481991	253583	246	253337	122	51191	202024	1	Superior Court Judge, Seat 7
190	481991	253583	246	253337	155	49475	203707	1	Superior Court Judge, Seat 9
195	481991	253583	246	253337	108	51854	201375	1	Superior Court Judge, Seat 11
200	481991	253583	246	253337	231	54260	198846	1	Superintendent of Public Instruction
205	481991	253583	-433	254016	621	2527	250868	1	Mayor
210	56415	36015	-52	36067	25	2777	33265	1	Board of Supervisors, District 8
215	481991	253583	-56	253639	70	16061	237508	1	State Proposition 68
220	481991	253583	-56	253639	58	18506	235075	1	State Proposition 69
225	481991	253583	-56	253639	100	30434	223105	1	State Proposition 70
230	481991	253583	-56	253639	234	27780	225625	1	State Proposition 71
235	481991	253583	-56	253639	53	23643	229943	1	State Proposition 72
240	481991	253583	-56	253639	70	18374	235195	1	Regional Measure 3
245	481991	253583	-56	253639	212	18217	235210	1	Local Measure A
250	481991	253583	-56	253639	76	23779	229784	1	Local Measure B
255	481991	253583	-56	253639	147	17208	236284	1	Local Measure C
260	481991	253583	-56	253639	160	18122	235357	1	Local Measure D
265	481991	253583	-56	253639	191	12411	241037	1	Local Measure E
270	481991	253583	-56	253639	132	14543	238964	1	Local Measure F
275	481991	253583	-56	253639	143	15363	238133	1	Local Measure G
280	481991	253583	-56	253639	220	16088	237331	1	Local Measure H
285	481991	253583	-56	253639	102	24758	228779	1	Local Measure I
