contest_id2	contest_id1	contest_name2	contest_name1
104	1702	Proposition:2	Proposition:2
105	1703	Proposition:3	Proposition:3
106	1704	Proposition:4	Proposition:4
107	1705	Proposition:5	Proposition:5
108	1706	Proposition:6	Proposition:6
314	1701	Proposition:1	Proposition:1
474	1310	STATE ASSEMBLY MEMBER~DISTRICT 17	STATE ASSEMBLY MEMBER~District 17
475	1210	STATE ASSEMBLY MEMBER~DISTRICT 19	STATE ASSEMBLY MEMBER~District 19
476	1020	UNITED STATES REPRESENTATIVE~DISTRICT 12	US House of Rep~District 12
477	1030	UNITED STATES REPRESENTATIVE~DISTRICT 13	US House of Rep~District 13
478	1040	UNITED STATES REPRESENTATIVE~DISTRICT 14	US House of Rep~District 14
486	1707	Proposition:7	Proposition:7
498	1801	Measure:A	Measure:A
499	1802	Measure:B	Measure:B
511	1803	Measure:C	Measure:C
512	1804	Measure:D	Measure:D
513	1805	Measure:E	Measure:E
618	8520	MEMBER, BOARD OF EDUCATION	Member, BoE
619	6020	BART DIRECTOR~DISTRICT 8	BART DIRECTOR~DISTRICT 8
621	4070	BOARD OF EQUALIZATION MEMBER, DISTRICT 2	BOARD OF EQUALIZATION
622	4000	GOVERNOR	GOVERNOR
623	4010	LIEUTENANT GOVERNOR	LIEUTENANT GOVERNOR
624	4050	ATTORNEY GENERAL	ATTORNEY GENERAL
625	4060	INSURANCE COMMISSIONER	INSURANCE COMMISSIONER
626	4020	SECRETARY OF STATE	SECRETARY OF STATE
627	4030	CONTROLLER	CONTROLLER
628	4040	TREASURER	TREASURER
629	1010	UNITED STATES SENATE	UNITED STATES SENATE
632	5108	MEMBER, BOARD OF SUPERVISORS~DISTRICT 8	BOARD OF SUPERVISORS~DISTRICT 8
637	4080	SUPERINTENDENT OF PUBLIC INSTRUCTION	Superintendent of Public Instruction
652	8540	MEMBER, COMMUNITY COLLEGE BOARD	Member, CCB
667	5030	ASSESSOR-RECORDER	ASSESSOR-RECORDER
668	5060	PUBLIC DEFENDER	PUBLIC DEFENDER
669	5102	MEMBER, BOARD OF SUPERVISORS~DISTRICT 2	BOARD OF SUPERVISORS~DISTRICT 2
670	5104	MEMBER, BOARD OF SUPERVISORS~DISTRICT 4	BOARD OF SUPERVISORS~DISTRICT 4
671	5106	MEMBER, BOARD OF SUPERVISORS~DISTRICT 6	BOARD OF SUPERVISORS~DISTRICT 6
672	5110	MEMBER, BOARD OF SUPERVISORS~DISTRICT 10	BOARD OF SUPERVISORS~DISTRICT 10
680	2001	Retention:CAROL A. CORRIGAN	Retention:CAROL A. CORRIGAN
681	2002	Retention:LEONDRA R. KRUGER	Retention:LEONDRA R. KRUGER
682	2003	Retention:JAMES M. HUMES	Retention:JAMES M. HUMES
683	2004	Retention:SANDRA MARGULIES	Retention:SANDRA MARGULIES
684	2005	Retention:JAMES A. RICHMAN	Retention:JAMES A. RICHMAN
685	2006	Retention:MARLA MILLER	Retention:MARLA MILLER
686	2008	Retention:JON B. STREETER	Retention:JON B. STREETER
687	2010	Retention:BARBARA JONES	Retention:BARBARA JONES
691	1708	Proposition:8	Proposition:8
692	1710	Proposition:10	Proposition:10
693	1711	Proposition:11	Proposition:11
694	1712	Proposition:12	Proposition:12
709	2007	Retention:PETER JOHN SIGGINS	Retention:PETER JOHN SIGGINS
710	2009	Retention:ALISON M. TUCHER	Retention:ALISON M. TUCHER
