contest_id	cand_id	cand_name	ballot_designation	cand_party	incumbent	qualified
1010	003	DIANNE FEINSTEIN	United States Senator		Y	Y
1010	013	COLLEEN SHEA FERNALD	Constitutional Solutions Advocate		N	Y
1010	014	RASH BIHARI GHOSH	Water Scientist/Professor		N	Y
1010	015	TIM GILDERSLEEVE	Paratransit Operator		N	Y
1010	031	MICHAEL FAHMY GIRGIS	Real Estate Broker		N	Y
1010	002	DON J GRUNDMANN	Doctor of Chiropractic		N	Y
1010	021	JASON M HANANIA	Attorney/Engineer		N	Y
1010	017	PAT HARRIS	Civil Rights Attorney		N	Y
1010	020	ALISON HARTSON	National Political Director		N	Y
1010	004	DAVID HILDEBRAND	Policy Analyst		N	Y
1010	028	JERRY JOSEPH LAWS			N	Y
1010	030	PATRICK LITTLE	Civil Rights Advocate		N	Y
1010	005	DAVID MOORE	Special Education Teacher		N	Y
1010	023	KEVIN MOTTUS	Wireless Safety Advocate		N	Y
1010	025	MARIO NABLIBA	Scientist		N	Y
1010	022	LEE OLSON	Aerospace Systems Engineer		N	Y
1010	027	TOM PALZER	Retired Urban Planner		N	Y
1010	001	JOHN THOMPSON PARKER			N	Y
1010	029	HERBERT G PETERS	Retired Aerospace Engineer		N	Y
1010	026	GERALD PLUMMER	Construction Project Manager		N	Y
1010	016	DERRICK MICHAEL REID	Retired Attorney		N	Y
1010	032	LING LING SHI	Author		N	Y
1010	018	PAUL A TAYLOR	Small Business Owner		N	Y
1010	019	DONNIE O TURNER	Retired USAF Sergeant		N	Y
1010	006	ARUN K BHUMITRA	Teacher/Engineer/Businessman		N	Y
1010	007	JAMES P BRADLEY	Chief Financial Officer		N	Y
1010	008	JOHN "JACK" CREW	Bus Driver		N	Y
1010	009	ERIN CRUZ	Published Author		N	Y
1010	010	ROQUE "ROCKY" DE LA FUENTE	Businessman/Land Developer		N	Y
1010	011	KEVIN DE LEON	California Senator		N	Y
1010	012	ADRIENNE NICOLE EDWARDS	Community Advocate		N	Y
1020	001	NANCY PELOSI	Member of Congress		Y	Y
1020	007	LISA A. REMMER			N	Y
1020	005	SHAHID BUTTAR	Lawyer/Advocate/Artist		N	Y
1020	006	MICHAEL GOLDSTEIN	Lawyer/Author		N	Y
1020	003	BARRY HERMANSON	Retired Entrepreneur		N	Y
1020	002	STEPHEN JAFFE	Civil Rights Attorney		N	Y
1020	004	RYAN A. KHOJASTEH	Immigrant Rights Commissioner		N	Y
1040	001	JACKIE SPEIER	Congresswoman		Y	Y
1040	002	CRISTINA OSMENA	Solar Industry Executive		N	Y
1210	001	PHIL TING	Assemblymember		Y	Y
