		Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
Alameda
  Districts
	County Supervisorial 1	169556	74250	32696	4517	521	1278	388	0	1030	54876
	County Supervisorial 2	159642	86333	18369	3425	657	882	685	0	999	48292
	County Supervisorial 3	172900	101743	14971	3616	1241	1006	783	2	1188	48350
	County Supervisorial 4	190316	108538	24511	4400	1170	1215	710	0	1286	48486
	County Supervisorial 5	213349	145633	7951	3182	2835	979	767	0	1418	50584

	US Congressional 13	453203	295757	24547	7963	4711	2232	1868	2	3113	113010
	US Congressional 15	361041	177484	61531	9312	1421	2628	1211	0	2287	105167
	US Congressional 17	91519	43256	12420	1865	292	500	254	0	521	32411

	State Senate 7	132822	54423	33043	4213	393	1173	250	0	823	38504
	State Senate 9	448804	293372	24070	7865	4685	2211	1846	1	3090	111664
	State Senate 10	324137	168702	41385	7062	1346	1976	1237	1	2008	100420

	State Assembly 15	170724	117988	7082	2377	2302	829	480	0	1014	38652
	State Assembly 16	131323	53927	32518	4162	381	1162	250	0	808	38115
	State Assembly 18	281762	177375	17399	5568	2401	1400	1384	1	2095	74139
	State Assembly 20	245484	131043	31376	5469	1103	1567	1010	1	1575	72340
	State Assembly 25	76470	36164	10123	1564	237	402	209	0	429	27342

	State Board of Equalization 2	905763	516497	98498	19140	6424	5360	3333	2	5921	250588

  Cities
	Alameda	49337	28593	5312	1083	391	342	108	0	286	13222
	Albany	11590	7876	549	132	145	50	17	0	60	2761
	Berkeley	78961	55473	2268	977	1249	360	257	0	453	17924
	Dublin	30237	13458	5218	783	57	230	61	0	179	10251
	Emeryville	6864	4470	332	124	55	49	15	0	48	1771
	Fremont	107920	50526	14597	2093	350	603	263	0	637	38851
	Hayward	73459	42146	7523	1659	342	444	418	0	480	20447
	Livermore	54301	21594	15288	2025	188	548	116	0	341	14201
	Newark	22975	11937	3142	551	85	127	79	0	119	6935
	Oakland	249279	166687	9783	4414	2600	1142	1258	1	1903	61491
	Piedmont	8638	5307	1119	135	40	41	9	0	40	1947
	Pleasanton	45066	18381	11248	1289	126	349	71	0	273	13329
	San Leandro	47801	26946	5116	1079	223	245	200	0	319	13673
	Union City	37779	20135	4272	738	133	167	135	0	246	11953

	Unincorporated Area	81556	42968	12731	2058	440	663	326	1	537	21832
Alameda Totals		905763	516497	98498	19140	6424	5360	3333	2	5921	250588
     Percent			0.5702341794967651	0.10874588787555695	0.021131355315446854	0.007092363201081753	0.005917662754654884	0.0036797705106437206	2.2080830603954382e-06	0.0065370299853384495	0.2766595780849457

Alpine
  Districts
	County Supervisorial 1	150	64	45	5	3	3	0	0	0	30
	County Supervisorial 2	174	81	41	3	1	1	0	0	0	47
	County Supervisorial 3	112	54	13	9	0	2	1	0	1	32
	County Supervisorial 4	152	73	36	5	1	2	1	0	1	33
	County Supervisorial 5	209	63	72	13	2	2	0	0	1	56

	US Congressional 4	797	335	207	35	7	10	2	0	3	198

	State Senate 1	797	335	207	35	7	10	2	0	3	198

	State Assembly 5	797	335	207	35	7	10	2	0	3	198

	State Board of Equalization 1	797	335	207	35	7	10	2	0	3	198

  Cities
	Unincorporated Area	797	335	207	35	7	10	2	0	3	198
Alpine Totals		797	335	207	35	7	10	2	0	3	198
     Percent			0.42032623291015625	0.259723961353302	0.04391467943787575	0.00878293626010418	0.012547051534056664	0.002509410260245204	0	0.003764115506783128	0.24843162298202515

Amador
  Districts
	County Supervisorial 1	4453	1341	1901	212	12	65	19	11	6	886
	County Supervisorial 2	5518	1324	2754	240	15	87	15	6	16	1061
	County Supervisorial 3	4177	1240	1834	209	17	48	13	4	11	801
	County Supervisorial 4	4573	1321	2041	211	21	74	9	2	11	883
	County Supervisorial 5	4661	1382	2035	197	36	79	10	5	12	905

	US Congressional 4	23382	6608	10565	1069	101	353	66	28	56	4536

	State Senate 8	23382	6608	10565	1069	101	353	66	28	56	4536

	State Assembly 5	23382	6608	10565	1069	101	353	66	28	56	4536

	State Board of Equalization 1	23382	6608	10565	1069	101	353	66	28	56	4536

  Cities
	Amador	142	66	39	8	0	3	0	0	0	26
	Ione	2839	682	1421	119	8	51	6	3	4	545
	Jackson	2874	923	1106	149	9	48	11	10	5	613
	Plymouth	592	156	266	21	6	12	4	1	2	124
	Sutter Creek	1788	573	728	80	10	28	4	0	2	363

	Unincorporated Area	15147	4208	7005	692	68	211	41	14	43	2865
Amador Totals		23382	6608	10565	1069	101	353	66	28	56	4536
     Percent			0.28261056542396545	0.4518432915210724	0.045718930661678314	0.0043195621110498905	0.015097083523869514	0.002822684124112129	0.0011975023662671447	0.0023950047325342894	0.1939953863620758

Butte
  Districts
	County Supervisorial 1	23000	6177	9083	1090	119	268	135	135	268	5725
	County Supervisorial 2	26294	10769	7623	969	199	357	74	103	206	5994
	County Supervisorial 3	28083	11388	8479	942	217	369	83	121	251	6233
	County Supervisorial 4	22657	7619	8303	849	140	276	103	104	193	5070
	County Supervisorial 5	14607	4277	5953	751	111	178	54	69	151	3063

	US Congressional 1	114641	40230	39441	4601	786	1448	449	532	1069	26085

	State Senate 4	114641	40230	39441	4601	786	1448	449	532	1069	26085

	State Assembly 1	9898	2836	3945	512	81	124	53	53	105	2189
	State Assembly 3	104743	37394	35496	4089	705	1324	396	479	964	23896

	State Board of Equalization 1	114641	40230	39441	4601	786	1448	449	532	1069	26085

  Cities
	Biggs	836	264	332	28	2	9	7	5	7	182
	Chico	52922	22674	14236	1831	423	711	175	228	445	12199
	Gridley	2977	1059	1003	118	9	26	12	17	24	709
	Oroville	8245	2496	2683	406	44	101	66	51	91	2307
	Paradise	5406	1466	2253	260	49	64	18	19	72	1205

	Unincorporated Area	44255	12271	18934	1958	259	537	171	212	430	9483
Butte Totals		114641	40230	39441	4601	786	1448	449	532	1069	26085
     Percent			0.3509215712547302	0.3440392315387726	0.04013398289680481	0.006856185849756002	0.012630734592676163	0.0039165741764009	0.004640573635697365	0.009324762038886547	0.2275363951921463

Calaveras
  Districts
	County Supervisorial 1	5883	1415	2794	290	23	84	22	38	53	1164
	County Supervisorial 2	5199	1543	2006	278	56	103	32	30	42	1109
	County Supervisorial 3	6201	2136	2277	273	52	76	25	36	56	1270
	County Supervisorial 4	6698	1747	2988	349	33	127	15	32	51	1356
	County Supervisorial 5	5967	1333	2829	332	22	94	16	30	50	1261

	US Congressional 4	29948	8174	12894	1522	186	484	110	166	252	6160

	State Senate 8	29948	8174	12894	1522	186	484	110	166	252	6160

	State Assembly 5	29948	8174	12894	1522	186	484	110	166	252	6160

	State Board of Equalization 1	29948	8174	12894	1522	186	484	110	166	252	6160

  Cities
	Angels	2419	678	1065	125	10	57	7	11	12	454

	Unincorporated Area	27529	7496	11829	1397	176	427	103	155	240	5706
Calaveras Totals		29948	8174	12894	1522	186	484	110	166	252	6160
     Percent			0.2729397714138031	0.43054628372192383	0.05082142353057861	0.006210765335708857	0.016161346808075905	0.0036730333231389523	0.005542940925806761	0.008414585143327713	0.20568986237049103

Colusa
  Districts
	County Supervisorial 1	2009	658	794	68	3	23	10	0	0	453
	County Supervisorial 2	1915	591	790	64	3	22	8	0	1	436
	County Supervisorial 3	1591	561	477	43	3	17	6	0	1	483
	County Supervisorial 4	1493	451	616	36	3	12	3	0	1	371
	County Supervisorial 5	1992	530	904	84	6	21	5	0	0	442

	US Congressional 3	9000	2791	3581	295	18	95	32	0	3	2185

	State Senate 4	9000	2791	3581	295	18	95	32	0	3	2185

	State Assembly 3	4664	1280	2122	165	11	46	15	0	2	1023
	State Assembly 4	4336	1511	1459	130	7	49	17	0	1	1162

	State Board of Equalization 2	9000	2791	3581	295	18	95	32	0	3	2185

  Cities
	Colusa	2729	820	1112	99	6	32	12	0	1	647
	Williams	1664	686	336	40	3	12	6	0	1	580

	Unincorporated Area	4607	1285	2133	156	9	51	14	0	1	958
Colusa Totals		9000	2791	3581	295	18	95	32	0	3	2185
     Percent			0.3101111054420471	0.3978888988494873	0.032777778804302216	0.0020000000949949026	0.010555555112659931	0.003555555595085025	0	0.00033333332976326346	0.2427777796983719

Contra Costa
  Districts
	County Supervisorial 1	110704	71049	7823	2171	878	575	614	642	245	26707
	County Supervisorial 2	155415	67799	39649	4467	466	1264	156	536	357	40721
	County Supervisorial 3	130701	59487	31719	4682	355	1114	457	685	288	31914
	County Supervisorial 4	135424	65079	29133	4410	657	1287	369	570	326	33593
	County Supervisorial 5	116913	63254	17251	3438	571	913	580	597	271	30038

	US Congressional 5	56944	31510	8192	1641	318	450	200	258	125	14250
	US Congressional 9	114684	53070	27102	4172	328	988	427	599	254	27744
	US Congressional 11	431442	222700	80339	12087	2167	3376	1499	1968	1014	106292
	US Congressional 15	46087	19388	9942	1268	114	339	50	205	94	14687

	State Senate 3	53951	26939	10839	1857	397	580	156	192	142	12849
	State Senate 7	457800	213256	103792	14510	1545	3849	1308	2063	1050	116427
	State Senate 9	137406	86473	10944	2801	985	724	712	775	295	33697

	State Assembly 11	136790	65339	30020	4907	406	1144	568	761	305	33340
	State Assembly 14	191527	95449	37111	6172	993	1774	726	854	463	47985
	State Assembly 15	131913	83408	10208	2658	956	685	689	748	285	32276
	State Assembly 16	188927	82472	48236	5431	572	1550	193	667	434	49372

	State Board of Equalization 2	649157	326668	125575	19168	2927	5153	2176	3030	1487	162973

  Cities
	Antioch	56543	30564	8577	1848	185	419	305	362	132	14151
	Brentwood	36272	15041	10312	1350	97	366	92	184	82	8748
	Clayton	8269	3326	2714	295	19	77	13	26	23	1776
	Concord	67744	33026	13583	2308	328	657	242	326	160	17114
	Danville	30677	11254	10392	1036	57	292	29	89	63	7465
	El Cerrito	16548	11037	1036	206	190	77	48	67	28	3859
	Hercules	15399	8915	1737	342	51	74	48	73	31	4128
	Lafayette	18281	8998	4097	492	70	148	20	46	47	4363
	Martinez	24704	12353	5119	842	175	286	70	81	64	5714
	Moraga	11159	5042	2701	291	33	112	6	30	31	2913
	Oakley	22460	10508	5106	845	66	191	84	101	43	5516
