sequence	type	contest_id	external_id	vote_for	title	text
001	text	11494	intro		Voter-Nominated and Nonpartisan Offices	<strong>Voter-Nominated and Nonpartisan Offices.</strong><br />All voters, regardless of the party preference they disclosed upon registration, or refusal to disclose a party preference, may vote for any candidate for a voter-nominated or nonpartisan office. The party preference, if any, designated by a candidate for a voter-nominated office is selected by the candidate and is shown for the information of the voters only. It does not imply that the candidate is nominated or endorsed by the party or that the party approves of the candidate. The party preference, if any, of a candidate for a nonpartisan office does not appear on the ballot.
010	contest	11139	553	1	GOVERNOR	
020	contest	11140	554	1	LIEUTENANT GOVERNOR	
030	contest	11141	557	1	SECRETARY OF STATE	
040	contest	11142	558	1	CONTROLLER	
050	contest	11143	559	1	TREASURER	
060	contest	11144	555	1	ATTORNEY GENERAL	
070	contest	11145	608	1	INSURANCE COMMISSIONER	
080	contest	11146	607	1	BOARD OF EQUALIZATION MEMBER, DISTRICT 2	
090	contest	11147	605	1	UNITED STATES SENATE	
100	contest	11148	444	1	UNITED STATES REPRESENTATIVE~DISTRICT 12	
110	contest	11149	451	1	UNITED STATES REPRESENTATIVE~DISTRICT 13	
120	contest	11150	445	1	UNITED STATES REPRESENTATIVE~DISTRICT 14	
130	contest	11151	403	1	STATE ASSEMBLY MEMBER~DISTRICT 17	
140	contest	11152	404	1	STATE ASSEMBLY MEMBER~DISTRICT 19	
150	contest	11153	599	1	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 4	
160	contest	11154	443	1	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 7	
170	contest	11155	600	1	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 9	
180	contest	11156	601	1	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 11	
190	contest	11157	563	1	SUPERINTENDENT OF PUBLIC INSTRUCTION	
198	header	11184	header-10		MAYOR~Vote your first, second, and third choices	You may rank up to three choices. To rank fewer than three candidates, leave any remaining choices blank.
200	contest	11158	598	1	1. FIRST CHOICE	
208	header	11203	header-12		MEMBER, BOARD OF SUPERVISORS	
209	header	11204	header-13		DISTRICT 8~Vote your first, second, and third choices	You may rank up to three choices. To rank fewer than three candidates, leave any remaining choices blank.
210	contest	11159	597	1	1. FIRST CHOICE	
217	header	11205	header-14		MEASURES SUBMITTED TO THE VOTERS	
218	header	11206	header-15		STATE PROPOSITIONS	
220	question	11160	446		68	<strong>AUTHORIZES BONDS FUNDING PARKS, NATURAL RESOURCES PROTECTION, CLIMATE ADAPTATION, WATER QUALITY AND SUPPLY, AND FLOOD PROTECTION.</strong> Authorizes $4 billion in general obligation bonds for: parks, natural resources protection, climate adaptation, water quality and supply, and flood protection. Fiscal Impact: Increased state bond repayment costs averaging $200 million annually over 40 years. Local government savings for natural resources-related projects, likely averaging several tens of millions of dollars annually over the next few decades.
230	question	11161	584		69	<strong>REQUIRES THAT CERTAIN NEW TRANSPORTATION REVENUES BE USED FOR TRANSPORTATION PURPOSES. LEGISLATIVE CONSTITUTIONAL AMENDMENT.</strong> Requires that certain revenues generated by a 2017 transportation funding law be used only for transportation purposes and generally prohibits Legislature from diverting funds to other purposes. Fiscal Impact: No direct effect on the amount of state and local revenues or costs but could affect how some monies are spent.
