runoff_date	runoff_type	contest_id	external_id	title
2018-11-06	non_majority	180	599	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 4
2018-11-06	non_majority	185	443	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 7
2018-11-06	non_majority	190	600	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 9
2018-11-06	non_majority	195	601	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 11
2018-11-06	top_2	100	553	GOVERNOR
2018-11-06	top_2	115	554	LIEUTENANT GOVERNOR
2018-11-06	top_2	120	557	SECRETARY OF STATE
2018-11-06	top_2	125	558	CONTROLLER
2018-11-06	top_2	130	559	TREASURER
2018-11-06	top_2	135	555	ATTORNEY GENERAL
2018-11-06	top_2	140	608	INSURANCE COMMISSIONER
2018-11-06	top_2	145	607	BOARD OF EQUALIZATION MEMBER, DISTRICT 2
2018-11-06	top_2	150	605	UNITED STATES SENATE
2018-11-06	top_2	155	444	UNITED STATES REPRESENTATIVE~DISTRICT 12
2018-11-06	top_2	160	451	UNITED STATES REPRESENTATIVE~DISTRICT 13
2018-11-06	top_2	165	445	UNITED STATES REPRESENTATIVE~DISTRICT 14
2018-11-06	top_2	170	403	STATE ASSEMBLY MEMBER~DISTRICT 17
2018-11-06	top_2	175	404	STATE ASSEMBLY MEMBER~DISTRICT 19
2018-11-06	top_2	200	563	SUPERINTENDENT OF PUBLIC INSTRUCTION
