contest_id2	contest_id1	contest_name2	contest_name1
372	245	Measure:A	Measure:A
373	250	Measure:B	Measure:B
374	255	Measure:C	Measure:C
375	260	Measure:D	Measure:D
376	270	Measure:F	Measure:F
403	170	STATE ASSEMBLY MEMBER~DISTRICT 17	State Assembly, District 17
404	175	STATE ASSEMBLY MEMBER~DISTRICT 19	State Assembly, District 19
443	185	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 7	Superior Court Judge, Seat 7
444	155	UNITED STATES REPRESENTATIVE~DISTRICT 12	U.S. Representative, District 12
445	165	UNITED STATES REPRESENTATIVE~DISTRICT 14	U.S. Representative, District 14
446	215	Proposition:68	Proposition:68
448	265	Measure:E	Measure:E
451	160	UNITED STATES REPRESENTATIVE~DISTRICT 13	U.S. Representative, District 13
553	100	GOVERNOR	Governor
554	115	LIEUTENANT GOVERNOR	Lieutenant Governor
555	135	ATTORNEY GENERAL	Attorney General
557	120	SECRETARY OF STATE	Secretary of State
558	125	CONTROLLER	State Controller
559	130	TREASURER	State Treasurer
563	200	SUPERINTENDENT OF PUBLIC INSTRUCTION	Superintendent of Public Instruction
584	220	Proposition:69	Proposition:69
585	225	Proposition:70	Proposition:70
586	230	Proposition:71	Proposition:71
587	235	Proposition:72	Proposition:72
594	275	Measure:G	Measure:G
595	280	Measure:H	Measure:H
596	285	Measure:I	Measure:I
597	210	1. FIRST CHOICE	Board of Supervisors, District 8
598	205	1. FIRST CHOICE	Mayor
599	180	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 4	Superior Court Judge, Seat 4
600	190	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 9	Superior Court Judge, Seat 9
601	195	JUDGE OF THE SUPERIOR COURT, OFFICE NO. 11	Superior Court Judge, Seat 11
605	150	UNITED STATES SENATE	U.S. Senator
607	145	BOARD OF EQUALIZATION MEMBER, DISTRICT 2	Board of Equalization, District 2
608	140	INSURANCE COMMISSIONER	Insurance Commissioner
617	240	Proposition:3	Proposition:3
