contest_id2	contest_id1	contest_name2	contest_name1
1c0b6535-0a11-4c7e-9075-233f0a5fc211	5020	TREASURER~Rank up to 3 candidates	TREASURER
334	5000	MAYOR~Rank up to 6 candidates	MAYOR
342	9001	Measure:A	Measure:A
343	9002	Measure:B	Measure:B
344	9003	Measure:C	Measure:C
345	9004	Measure:D	Measure:D
346	9005	Measure:E	Measure:E
351	8560	MEMBER, COMMUNITY COLLEGE BOARD	Member, CCB~S/T
354	9006	Measure:F	Measure:F
361	8525	MEMBER, BOARD OF EDUCATION	Member, BoE~S/T
479e7108-5b99-4821-966a-b78eabcfc581	5070	PUBLIC DEFENDER~Rank up to 3 candidates	PUBLIC DEFENDER~S/T
91e909f7-cfae-4478-952a-dd0ff37dd9ce	5105	MEMBER, BOARD OF SUPERVISORS, DISTRICT 5~Rank up to 4 candidates	BOARD OF SUPERVISORS~DISTRICT 5
aa114170-bb7f-477a-ac90-f5b343adcd1a	5010	CITY ATTORNEY~Rank up to 3 candidates	CITY ATTORNEY
e56eaea1-da96-41f9-8d4b-a3f1733480bd	5040	DISTRICT ATTORNEY~Rank up to 4 candidates	DISTRICT ATTORNEY
f0f07583-b641-47d3-9b9f-1c51dc824513	5050	SHERIFF~Rank up to 3 candidates	SHERIFF
