contest_id	registration	ballots_cast	ballots_uncounted	computed_ballots	overvotes	undervotes	totalvotes	vote_for	contest_name
100	500516	372848	106	372742	144	11236	361362	1	Governor
105	500516	372848	106	372742	348	45920	326474	1	Lieutenant Governor
110	500516	372848	106	372742	109	19728	352905	1	Secretary of State
115	500516	372848	106	372742	85	18077	354580	1	State Controller
120	500516	372848	106	372742	98	19947	352697	1	State Treasurer
125	500516	372848	106	372742	94	20077	352571	1	Attorney General
130	500516	372848	106	372742	157	34922	337663	1	Insurance Commissioner
135	500516	372848	106	372742	75	31941	340726	1	Board of Equalization, District 2
140	500516	372848	106	372742	374	20247	352121	1	U.S. Senator
145	443570	332491	87	332404	107	15225	317072	1	U.S. Representative, District 12
150	0	0	0	0	0	0	0	1	U.S. Representative, District 13
155	56946	40357	19	40338	8	2211	38119	1	U.S. Representative, District 14
160	291063	214827	62	214765	192	28709	185864	1	State Assembly, District 17
165	209453	158021	44	157977	37	8898	149042	1	State Assembly, District 19
170	500516	372848	836	372012	16041	282075	817920	3	Member, Board of Education
235	500516	372848	106	372742	1511	80051	291180	1	Superintendent of Public Instruction
240	500516	372848	106	372742	2760	487621	627845	3	Member, Community College Board
245	223735	166386	47	166339	1610	39920	124809	1	BART Director, District 8
250	500516	372848	4270	368578	411	52051	316116	1	Assessor-Recorder
265	500516	372848	4270	368578	70	77150	291358	1	Public Defender
280	50394	40402	496	39906	76	4515	35315	1	Board of Supervisors, District 2
285	42953	31699	287	31412	175	2840	28397	1	Board of Supervisors, District 4
290	43321	29158	286	28872	74	3460	25338	1	Board of Supervisors, District 6
295	58122	48632	583	48049	37	5933	42079	1	Board of Supervisors, District 8
300	41862	26459	202	26257	152	2936	23169	1	Board of Supervisors, District 10
305	500516	372848	106	372742	238	133261	239243	1	Sup Ct. Assoc Justice CORRIGAN
310	500516	372848	106	372742	108	137808	234826	1	Sup Ct. Assoc Justice KRUGER
315	500516	372848	106	372742	130	146150	226462	1	COA Div 1 Presiding Justice HUMES
320	500516	372848	106	372742	114	143534	229094	1	COA Div 1 Assoc Justice MARGULIES
325	500516	372848	106	372742	90	150802	221850	1	COA Div 2 Assoc Justice RICHMAN
330	500516	372848	106	372742	168	148241	224333	1	COA Div 2 Assoc Justice MILLER
335	500516	372848	106	372742	86	150859	221797	1	COA Div 3 Presiding Justice SIGGINS
340	500516	372848	106	372742	89	152378	220275	1	COA Div 4 Assoc Justice STREETER
345	500516	372848	106	372742	151	149000	223591	1	COA Div 4 Assoc Juctice TUCHER
350	500516	372848	106	372742	49	147640	225053	1	COA Div 5 Presiding Juctice JONES
355	500516	372848	942	371906	161	18594	353151	1	State Proposition 1
360	500516	372848	942	371906	124	18230	353552	1	State Proposition 2
365	500516	372848	942	371906	279	26417	345210	1	State Proposition 3
370	500516	372848	942	371906	239	24028	347639	1	State Proposition 4
375	500516	372848	942	371906	294	25364	346248	1	State Proposition 5
380	500516	372848	942	371906	332	19912	351662	1	State Proposition 6
385	500516	372848	942	371906	114	23666	348126	1	State Proposition 7
390	500516	372848	282	372566	232	20107	352227	1	State Proposition 8
395	500516	372848	282	372566	224	11904	360438	1	State Proposition 10
400	500516	372848	282	372566	266	22063	350237	1	State Proposition 11
405	500516	372848	282	372566	168	18717	353681	1	State Proposition 12
410	500516	372848	282	372566	290	23854	348422	1	Local Measure A
415	500516	372848	282	372566	147	48069	324350	1	Local Measure B
420	500516	372848	282	372566	282	20958	351326	1	Local Measure C
425	500516	372848	282	372566	169	26332	346065	1	Local Measure D
430	500516	372848	282	372566	150	28488	343928	1	Local Measure E
