contest_id	display_order	candidate_id	candidate_name	is_writein
029	001	130	CARMEN CHU	N
029	002	131	PAUL BELLAR	N
029	003	029	WRITE-IN	Y
032	001	132	JEFF ADACHI	N
032	002	032	WRITE-IN	Y
035	001	133	NICK JOSEFOWITZ	N
035	002	134	JOHN DENNIS	N
035	003	135	SCHUYLER HUDAK	N
035	004	136	CATHERINE STEFANI	N
035	005	035	WRITE-IN	Y
036	001	137	JESSICA HO	N
036	002	138	ADAM KIM	N
036	003	139	TUAN NGUYEN	N
036	004	140	ARTHUR TOM	N
036	005	141	TREVOR MCNEIL	N
036	006	142	GORDON MAR	N
036	007	143	MIKE MURPHY	N
036	008	144	LOU ANN BASSAN	N
036	009	036	WRITE-IN	Y
037	001	145	CHRISTINE JOHNSON	N
037	002	146	MATT HANEY	N
037	003	147	SONJA TRAUSS	N
037	004	037	WRITE-IN	Y
038	001	148	LAWRENCE ''STARK'' DAGESSE	N
038	002	149	RAFAEL MANDELMAN	N
038	003	038	WRITE-IN	Y
039	001	150	ASALE CHANDLER	N
039	002	151	UZURI PEASE-GREENE	N
039	003	152	TONY KELLY	N
039	004	153	SHAMANN WALTON	N
039	005	154	THEO ELLINGTON	N
039	006	155	GLORIA BERRY	N
039	007	039	WRITE-IN	Y
039	008	157	WRITE-IN NEO VEAVEA	Y
